"","model1_ASC_t","model1_DES_t","model2_ASC_t","model2_DES_t","model3_ASC_t","model3_DES_t","model4_ASC_t","model4_DES_t","model1_ASC_P","model1_DES_P","model2_ASC_P","model2_DES_P","model3_ASC_P","model3_DES_P","model4_ASC_P","model4_DES_P","model1_ASC_FDR","model1_DES_FDR","model2_ASC_FDR","model2_DES_FDR","model3_ASC_FDR","model3_DES_FDR","model4_ASC_FDR","model4_DES_FDR"
"d__Bacteria--p__Actinobacteria--c__Coriobacteriia--o__Coriobacteriales--f__Atopobiaceae--g__Atopobium",0.336180939719739,0.435275260842417,0.46755041230606,0.547709243440307,0.153357673579623,-0.0680758963851223,0.188812814983174,-0.428642591012717,0.73713717416394,0.663902072357475,0.640697955998409,0.58460576200989,0.878303614560361,0.945808144853021,0.850483379499632,0.668774634244839,0.942180384632749,0.821481941671895,0.916503932531163,0.778827597714815,0.978510399644572,0.982898660337453,0.974817410519866,0.859324428080888
"d__Bacteria--p__Actinobacteria--c__Coriobacteriia--o__Coriobacteriales--f__Atopobiaceae--g__Atopobium--__",0.336180939719739,0.435275260842417,0.46755041230606,0.547709243440307,0.153357673579623,-0.0680758963851223,0.188812814983174,-0.428642591012717,0.73713717416394,0.663902072357475,0.640697955998409,0.58460576200989,0.878303614560361,0.945808144853021,0.850483379499632,0.668774634244839,0.942180384632749,0.821481941671895,0.916503932531163,0.778827597714815,0.978510399644572,0.982898660337453,0.974817410519866,0.859324428080888
"d__Bacteria--p__Bacteroidetes--c__Bacteroidia--o__Bacteroidales",0.679172413695038,0.49347886120027,0.897622344300878,0.731714337728179,0.546430485534733,0.325547488927683,0.486292118780492,0.413742935814785,0.497925903641899,0.622296553932616,0.370641656949866,0.465344527226427,0.585508196584537,0.745181722944525,0.627438158324362,0.679630624173516,0.903703808335602,0.785278984724491,0.750726413439856,0.710590800641926,0.94877591409675,0.905090332197864,0.94213480324154,0.859324428080888
"d__Bacteria--p__Firmicutes--c__Bacilli--o__Bacillales--f__Bacillaceae",-0.784461761437791,0.498614795067502,-0.552217079313411,0.483721671581918,0.434207629893229,0.93729982435246,0.555990804749737,0.645106882638824,0.433829794717307,0.618680505480414,0.581516475706371,0.629202269052858,0.664704928421689,0.349982606931029,0.57900863904343,0.519805538632353,0.867659589434613,0.783826297779966,0.915954318248487,0.778827597714815,0.94877591409675,0.690882331047478,0.94213480324154,0.751355278568583
"d__Bacteria--p__Bacteroidetes",0.740196688371426,0.499927693476512,0.960825392032938,0.738543398844463,0.611684973952171,0.332482759020674,0.535239243166244,0.417448576760735,0.460172548157276,0.617757623061821,0.337988730290711,0.461196743435035,0.541588098224854,0.739949349817921,0.593241751636375,0.676924286166392,0.878882403567746,0.783826297779966,0.728491274813583,0.709830661881292,0.94877591409675,0.905090332197864,0.94213480324154,0.859324428080888
"d__Bacteria--p__Bacteroidetes--c__Bacteroidia",0.741496990834029,0.500212485546094,0.962032927822505,0.738809267035908,0.613162116885628,0.332824650138341,0.536596335674133,0.417729468005734,0.459386066847623,0.617557512935949,0.337383580045342,0.461035684974113,0.540613422570789,0.739691718713438,0.592306019282823,0.676719314151505,0.878882403567746,0.783826297779966,0.728491274813583,0.709830661881292,0.94877591409675,0.905090332197864,0.94213480324154,0.859324428080888
"d__Bacteria--p__Bacteroidetes--c__Bacteroidia--o__Bacteroidales--f__Tannerellaceae--g__Parabacteroides",0.733129785981766,0.520163603648124,0.750001515193245,0.557128292657625,0.0302004733341071,0.122147594626732,-0.0798844349964348,-0.0940562857209612,0.464460189488612,0.603610731927932,0.454278458500324,0.578168266982511,0.975943669615095,0.902931675430668,0.936430904096243,0.925185141748162,0.878882403567746,0.773984728843074,0.825488856017732,0.778827597714815,0.982120528283545,0.965982511566446,0.974817410519866,0.968136933466125
"d__Bacteria--p__Firmicutes--c__Bacilli--o__Bacillales--f__Bacillaceae--g__Geobacillus",-0.630833581916689,0.530104722347774,-0.430149042519376,0.517865785284769,0.536156334836203,0.962821129999923,0.681802221335853,0.668806136453961,0.528972335855783,0.596715136556398,0.667625683698312,0.605221255287343,0.592572575184308,0.337054792197801,0.496368577719526,0.504607640902544,0.903703808335602,0.773984728843074,0.931162137789751,0.778827597714815,0.94877591409675,0.678745012918443,0.94213480324154,0.749837522462659
"d__Bacteria--p__Firmicutes--c__Bacilli--o__Bacillales--f__Bacillaceae--g__Geobacillus--__",-0.630833581916689,0.530104722347774,-0.430149042519376,0.517865785284769,0.536156334836203,0.962821129999923,0.681802221335853,0.668806136453961,0.528972335855783,0.596715136556398,0.667625683698312,0.605221255287343,0.592572575184308,0.337054792197801,0.496368577719526,0.504607640902544,0.903703808335602,0.773984728843074,0.931162137789751,0.778827597714815,0.94877591409675,0.678745012918443,0.94213480324154,0.749837522462659
"d__Bacteria--p__Firmicutes--c__Erysipelotrichia--o__Erysipelotrichales--f__Erysipelotrichaceae--g__Erysipelotrichaceae_UCG-003--__",0.144917433510256,0.533594543156832,0.157704751872153,0.551467192266429,-0.487103170925905,-0.0249408297525871,-0.669866230550218,-0.207553487787101,0.884942829303774,0.594303049061441,0.874874442967962,0.582033342856608,0.626831698221023,0.980132481254589,0.503927090711075,0.835848323532653,0.993059764925698,0.773984728843074,0.971593788948509,0.778827597714815,0.94877591409675,0.988568640363634,0.94213480324154,0.907166439875029
